	ABI1	AKT1	APPL1	ARAF	BCAR1	CAMK2A	CAV1	CAV2	CBL	CBLB	CDC42	CREB1	CRK	CSK	DNM1	DUSP1	EGF	EGFR	ELK1	EPN1	EPS15	EPS8	FOS	GAB1	GAB2	GJA1	GRB2	HRAS	JAK2	JUN	KRAS	KRT8	MAP2K1	MAP2K2	MAP2K3	MAP2K5	MAPK1	MAPK14	MAPK3	MAPK8	NCK1	PAK1	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PLCG1	PRKCZ	PTK2B	PTPN11	PTPN6	RAB5A	RAC1	RAF1	RALB	RALBP1	RALGDS	SHC1	SOS1	SRC	VAV1	VAV2	VAV3	YWHAB	PDPK1	RHOA	MAP2K4	MAP2K6	P53	ERBB2	LIMK1	MAP2K7	MAP3K1	MAP3K4	NRAS	PIK3CG	PLD1	PLD2	RPS6KA3	MAP3K11	ERBB3	ERBB4	BRAF	CASP9	FOXO1A	GRB10	BAD	SMAD2	SH3KBP1	SPRY2	ARHGEF7	TNK2	SH3GL2	ERRFI1	PIK3R2	PLCG2	RASA1	RGS16	STAT1	STAT5B	USP6NL	MAPK7	PRKCG	SOS2	RIN1	STAT5A	KSR1	MAP3K2	MYC	PTPN5	PTPRR	RPS6KA1	SMAD3	SP1	DUSP4	DUSP6	WASL	PIK3R3	PXN	RALA	STAT3	PRKCE	GRB7	ARHGAP3	PRKCA	PRKCB1	PRKCI
Random265	6896.14	30080.2	50	4628.98	50	21444.3	50	50	40752.8	3.16828e+06	1.0888e+06	28879	12289	128930	54483.9	16139.4	166072	87623.8	100	181291	134724	20257.6	64200.4	14145.6	34376.8	12832.7	782375	1.39206e+06	96811.2	32807.4	36451.1	50	36726.2	132944	217549	17060.7	110200	207465	171865	57663	334959	139411	150	313276	100	58498.5	6865.27	199	50049.5	283300	126391	227882	444731	6923.19	15305	16691	100	253723	8756.82	155717	168699	75367.1	19949.4	78592.4	14616	172419	173821	129708	75	132880	393475	46368.6	696291	2.56759e+06	93690.1	150	1.65709e+06	9335	15121.6	191832	142334	86676.5	47086.3	50	50	50	62.5	5654	3.16833e+06	75	19740.1	50	100	50	44437	13373.7	911896	50	193139	50	6905.14	66967.4	9878.91	431690	251543	235215	100	8555.33	100	83970.2	18999.7	50	50	72533.2	88336.4	16233.2	236152	144906	50	1586	50	527.75	100	100	4.32295e+06	2.2996e+06	13701	
Random266	20156.9	24802.3	105784	5.61373e+06	50	11217.6	50	50	27027.7	12505.5	1.5094e+06	11912	16666.7	50	92030.5	33490.6	73614.7	38646.1	100	1.06881e+06	469289	16968.3	34724.1	9174.44	7005.19	15159.2	245157	6.47129e+06	46378	31081.9	256676	50	1.05277e+06	11586.9	23444	30457.8	534853	65826.6	273596	41515.3	120057	22571.2	27710.4	31188.4	80296.4	79897.6	8938.2	75	58995.3	526927	221873	159463	119536	89032.5	937442	2.22034e+06	100	29336.1	1528.68	159332	111604	189921	295969	79854.3	661516	920899	2177.12	27998.1	75	263005	50	38131.3	51133.9	24911.7	255294	2296.86	230906	2.01626e+06	921.046	80105.7	80831.5	45200.1	1666.25	72162.6	50	50	62.5	183	12555.5	75	148500	1.509e+06	367822	50	24449.2	17072.4	375967	50	69025.8	50	13536.5	39714	51091	100	13402.8	167217	127242	18344.6	100	127558	22209.2	50	50	50	232354	67621.1	81925.6	74105.3	165406	1.28309e+06	50	2.13382e+06	114897	136279	346851	100	100	
Random267	143954	38179	50	75	50	8996	50	50	22528.5	71147.5	508785	7732.36	29264.1	155588	1633.9	419742	107217	43617.6	100	52265.8	17471.9	219618	2467.35	5203.05	70	30094	292794	269401	88379.3	7185.39	301477	50	67863.7	153588	18522.3	232236	441786	99453.2	328355	163894	62098.7	24726.8	689798	552068	23229.1	6152.69	122973	509.5	268847	109402	166486	581479	174108	59340	76257.5	25424.5	17027.7	28556.4	17846.6	182878	75	51600.5	27985.3	387860	39445.7	75526.7	47019.9	59331.4	75	175595	50	245252	1.839e+06	272634	370312	26394.7	1.40112e+06	445	8472.91	36170.5	288725	60334.7	104914	50	50	14832.6	62.5	2982	71197.5	75	8400.18	50	6235.6	50	9086.36	44682	186300	50	147239	50	56873.1	116049	64364.8	578241	624406	123235	100	116143	100	182686	50121.8	50	50	50	182786	4311.5	63692.3	1.36136e+06	50	150	50	1973.75	100	100	3.65536e+06	1.94354e+06	1051	
Random268	30694.2	285957	190668	29826	50	71063	50	50	43161	360290	320090	3075.85	60076	68869.1	8527.8	40170.3	260297	136680	100	48820	16323.3	65144.4	2184.85	8200.42	553294	24627.2	464429	1.14101e+06	393.375	6337.89	500	50	13667.3	67808	60946	3369.33	969320	60677.8	35178.3	45476.3	18704	8894.29	150	150	100	29252.1	22467	121	26359.8	267908	260702	190768	44339.4	29048.2	38131	74433	7210.79	55911.1	5964.57	163158	75	62557.5	119683	533210	91462.9	126399	54890.6	41243.4	75	127188	50	50	98826	37663.6	145877	262044	101961	89953	2948.99	398565	17242	24785.6	329297	50	379417	50	62.5	23671	408309	75	100	50	33811.2	50	25923.1	58985.7	85389.3	50	1390.75	153286	24926.5	128623	18990.9	100	10909.2	182.75	52775	1709.67	100	394098	55960.9	50	50	50	657663	176083	14398.8	102210	50	36502	50	260.5	28679.5	100	269869	226048	1116	
Random269	110769	3565.59	3.36922e+06	57179.3	50	1.80626e+06	50	27812.5	21764.1	5384	125263	466816	41216.4	353934	323.9	69851.1	21337.7	10753.2	100	9616.5	3255.5	99995.4	101.75	1491.49	70	37552.1	25070.8	393065	202.8	88.5833	395534	50	135947	32776.5	7968.83	120011	268853	70754.7	27803.5	31898.6	10722.7	33609.7	46737.5	150	2.10926e+06	326062	2833.08	75	45758.8	7181.59	158741	3.36932e+06	11430.6	106284	2.3295e+06	363979	917773	14696.9	12677.2	189077	50115.3	73153.2	150314	88290.6	136966	419415	38097.6	96334.7	61261.9	131890	50	50	103403	116660	171902	150	36330.1	287179	22737.7	67667.4	71107.9	66950.4	24503.6	50	50	50	5185.89	465188	5434	3905.31	55748.3	67109.5	995.6	50	630244	5311.57	30838.9	50	661.2	50	6760.4	107661	78566.2	100	27410	150	1.17119e+06	103011	100	87328.3	19524.3	50	50	50	87428.3	17395.9	14016.8	46240.6	50	150	50	322321	100	100	60674.2	100	100	
Random270	76098.9	8955.32	28998.7	1.51747e+06	50	26887.2	50	50	17056.7	6176.5	104248	39857	14840.7	37570.1	9105.6	95758.8	65241.4	34421	100	78759.4	36019.4	85268.7	127.852	1751.27	70	715.202	89567.1	782253	234225	166.889	739795	50	2.94945e+06	109584	18460.8	819098	2.94027e+06	59021	271158	107195	308886	129544	18155.3	42637.3	30605.3	12238.5	11308.2	75	13999.4	65551.3	81699	64764.3	96210.4	425768	150	311319	92825.8	23544.4	28149.8	64207.9	75	14911	30083.7	325145	26840.8	101061	54910.5	15480.2	75	57799.1	50	142759	3.64508e+06	22371.8	392046	1586.28	34466.1	81942.2	21727	19545.2	13420.1	16087.3	1.46562e+06	50	50	50	62.5	1750	6226.5	75	91982.8	50	36122.4	50	56070.4	15992.4	88227	50	882654	50	17165	1388.94	2752.28	100	8166.68	150	1.13429e+06	491765	100	440387	63220.9	50	50	50	611410	280334	846295	24424.8	50	589546	50	107054	14668.2	100	85421.9	100	100	
Random271	307674	7776.85	50	4437.71	1443.42	108253	50	50	88223.9	44944.6	1.23566e+06	124029	38642.2	457908	11407.6	6351.52	164011	76421.5	100	7160.99	10685	710126	3038.78	9314.04	8477.69	2534.39	457162	349748	39723.5	7190.79	344891	50	74488.7	21009.7	106794	487.509	138720	65837.9	28197	144196	473044	193913	90214.5	68049.5	211614	75214.9	38167.5	2438.49	805356	344694	607721	229654	102812	96883.7	7896.67	26257.3	100	44261.2	56540	537023	33657.6	162966	100	2.06541e+06	12511	19955.8	7680.19	9637.66	75	601425	27857.2	105685	273414	13060.5	244894	4628.12	17115.3	119554	22572.3	172618	12993.7	134421	1.20078e+06	50	50	50	19732	1617	65152.4	75	25203.7	470	4329.11	50	95216.1	61883.5	122454	50	108237	50	413893	5257.19	9799.17	90752.9	100	150	739944	568.518	100	46912.8	22794.3	281161	50	50	185295	11673.1	1.48131e+06	252140	50	18560.7	50	6256.77	331261	722194	30061.7	100	155501	
Random272	18229.8	20447.8	3187.43	10791.2	50	1.99179e+06	50	50	31095.9	15909.2	292089	121359	9993.21	50	3375.4	15794.9	44141.4	23274.3	100	10634.5	3594.83	22762.8	717.704	12213.1	37253.9	44828.9	191371	766437	12708.9	1936.44	770508	50	11428	113293	48333.6	27161.7	477762	44440.9	21506.3	313708	408891	12992.7	101730	84284.6	326728	63007.7	138542	59025.1	32000.6	315844	110806	7755.57	59272.2	3042.13	98130.5	33131.5	21749.7	54497.7	21761.1	123913	257898	17772.1	10749.9	359058	275673	383175	417565	48413.6	75	177906	51620.8	50	210946	407974	52201	7112.13	64309.9	28909	87698.8	403863	90004.6	68136	1.66371e+06	50	50	50	62.5	648085	21583.8	16020.7	45227.8	50	13201.6	50	81037.4	10208.7	29148.7	50	28325.3	50	3454.93	171828	67724.5	60070	2204.86	66214.9	100	13605.8	100	149949	33427	50	50	478267	331514	47034.2	1.55023e+06	222772	122120	150	50	66661.1	100	100	167885	1679.81	30110	
Random273	1244.91	3.67302e+06	3176.39	35506.9	50	1007	50	50	332810	75	102445	569027	26187.1	1.92765e+06	606.9	884019	105949	55081	100	65362.8	21837.6	6730.48	392.565	17308.9	24043.8	276.844	210865	88067.3	2554.8	961.028	133240	50	104943	52217.7	73961.8	52558.5	993482	307609	455515	151081	19596.3	133630	68918.7	71440.7	53201.7	65024.7	22030.5	75	550816	137086	1.44112e+06	15454.6	252277	164539	150	53682.2	36133.5	44381.1	1461.06	2.59077e+06	75	73100.2	100	196237	2.1672e+06	34280.4	18199.7	47732.6	75	335965	50	30757.7	132772	68684.8	270307	3455.89	10497.5	98613.9	1381.02	104495	68768.5	53037.3	143280	481566	522751	1.30362e+06	172936	319	108195	101248	38128.5	50	2127.6	50	22731.7	233435	40209.6	50	200	50	11553.1	372.681	1138.38	192060	100	10019.2	100	43839.4	100	326639	93123.9	50	50	50	326739	1676.53	46290.5	182160	50	155148	50	62004	175739	100	16245.9	100	100	
Random274	195494	1.82564e+06	629335	3453.96	50	3.04872e+06	50	50	117623	872903	180730	282566	38516.7	766348	461.3	32101.9	159311	83026.8	100	1.63079e+06	740859	420947	659.674	5310.87	17604	2683.14	184063	82033	10055.1	3272.28	135534	50	2670.65	14955.6	36454.3	97	418616	54065.1	317528	12058.4	26191	32348.1	89822	87001	1.149e+06	189813	78438.6	3455	193571	55210.6	670228	738642	257852	47148.9	150	20917.8	13911.8	66887.3	51263.1	1.11139e+06	75	312521	100	137974	1.17387e+06	191278	13125.3	26898.3	75	683952	50	4158.58	6771.75	18624.4	95120	6979.33	659309	12137	36709	135445	155461	126909	90434.2	292938	276754	311760	135596	1.01622e+06	872953	11139.9	156561	50	1545.2	50	331270	1.23485e+06	75459.6	50	40070.4	50	221836	10138.9	5809.98	100	100	150	56481	73.5	100	7285.44	847786	50	50	50	42991.4	52952.9	20797.5	297440	50	62403.2	50	169666	172018	100	1.72297e+06	568935	11222	
Random275	22557	32261.1	50	13254.7	50	169532	50	50	207123	75	1.49044e+06	319660	133163	300399	58960	490261	208620	105166	100	1.76072e+06	1.0781e+06	104117	14025.1	7208.14	70	900223	757645	41105.8	76251.6	41858.6	56656.8	50	41851.9	168437	18570.6	2024.76	176601	139064	3.4179e+06	126922	55808.9	2.22317e+06	30049.2	67667.2	353577	109979	28574.9	29511.1	133450	45549.7	272822	222266	725954	12116.4	115763	202489	100	73872.2	43997.7	380880	75	48552.6	100	59994.3	164836	132529	8152.64	26675.6	75	302619	4.8728e+06	25897.7	216945	22382.9	100084	477.014	64592.7	100031	229095	13626.5	6087.16	64127.9	61716	50	50	50	4483.82	56494	119323	239252	164918	50	235540	50	90040.4	48446.8	71544.4	50	140505	50	188242	1.56586e+06	1.1432e+06	100	100	101110	84787.8	3338.02	100	2.1025e+06	174086	50	50	50	2.52431e+06	33725	141503	112447	50	86926.7	50	75	851015	100	299030	100	100	
Random276	64897.6	1.33942e+06	121638	1120.26	50	1772	50	50	38249.1	251524	2.32718e+06	43298.5	10285.7	371761	133.9	10371.7	44876.4	23658.2	100	65858.8	22002.9	79382.3	11374.6	1995.04	70	1142.55	808938	57465.7	204896	52412.2	171468	50	11242.5	27569.5	77785.4	154402	253902	1.716e+06	112697	105825	216221	3.49012e+06	46036.1	46409.1	4835.48	3042.27	113800	75	102702	274330	246176	276495	1.00385e+06	1208.01	313486	7953.85	151103	56877.3	54039.7	431716	75	10380.7	76252.5	1093.55	425604	76352.5	66627	2.15518e+06	75	201129	50	10804.1	47638.6	2.36758e+06	548251	122584	31548.5	39211.9	50557.7	984135	39909.4	62706	19968.7	50	50	50	3.06304e+06	574	251574	4962.79	14461.1	50	235.6	50	150	10575.9	17404.1	50	200	50	51531.7	3910.52	2874.67	100	56667.3	1.30108e+06	100	141559	100	125024	32370.8	50	50	50	1.66505e+06	30874.1	811246	232164	50	1448.15	50	7756.67	102658	100	138734	100	10828.7	
Random277	107736	9921.43	155511	4778.73	50	1862	50	50	33292.5	16446	1.75994e+06	33334.2	11266.3	235298	131806	8788.26	49791.4	19192.1	100	49880.8	16676.9	115980	517.009	2925.52	70	174422	466053	123588	37021.6	1334.36	123041	70767.2	6422.24	20413.3	30331.2	2632.67	227316	29860.8	62019.7	17893.9	16251.3	8178.91	150	36238	57660.7	23541	28245.4	248497	376966	113090	131924	155611	132902	9391.11	150	159715	91074.9	22336.1	112663	248552	1.19679e+06	98667.4	98151	113317	103409	1.85356e+06	34656.7	24865	75	40803.6	50	1717.89	26442	105861	113697	150	66735.9	469658	39802.7	105304	31172.4	8450.82	46437.8	50	50	50	5246.73	604	16496	5301.18	51995.7	1.75954e+06	526924	2390.2	11584.7	12071.5	21431.1	50	200	50	50	418109	262703	227496	100	134751	100	1341.33	100	68917.7	15728.7	50	50	50	103143	26004.5	35850.6	41574.7	50	379156	50	214860	5029.72	100	119467	100	100	
Random278	5589.73	12086.3	50	142080	50	2.83996e+06	50	50	9806.55	2.46868e+06	651051	2.86661e+06	3429.16	76307.2	5343	1.17207e+06	13255.1	6521.92	100	710	286.667	18125.7	236856	4804.44	70	139050	219457	5.05086e+06	216177	206321	500	50	45530.7	88644.5	45597.4	104693	1.27262e+06	404903	1.01328e+06	796372	17811.3	633573	150	150	100	48917.8	36073.3	75	97166.5	46353.6	62096.2	58869.5	319259	21252.4	186809	100	203926	7805.73	10976.8	95986.1	75	8560.94	100	23001.4	30346.4	22918.1	1.01432e+06	9527.48	75	72534.1	381957	50	445116	447084	400	1.26944e+06	12777.8	74436.8	20551.6	125260	85082.3	33073.7	132826	50	50	50	64337	214	2.46874e+06	1354.23	12900.3	50	21072	50	182358	53951.9	71081.8	50	200	50	16153.9	401364	221663	100	103394	712506	100	189749	100	634435	146751	50	50	50	634535	12394.3	19505.4	408155	50	132902	50	56668.9	12940.9	100	25080.2	100	40943.2	
Random279	10262.6	26275.2	50	75	50	509107	50	50	103603	358724	657240	412224	19087.4	670627	21037.6	8062.89	83522.4	43959.6	100	7706.47	3073.12	19491.5	349.602	89429	70	20039	232778	263278	6981.87	832.139	43249	50	76767.1	237662	15053.5	13179.7	70004.5	36266.3	100840	400681	7115.9	222494	119793	140170	444510	211942	815.768	197.5	249046	89553.3	445343	114972	164330	11712.1	150	10400.5	6293.67	18725	3786.48	602024	75	361812	100	79738.3	10885.3	353937	92703	25018.1	75	158747	156244	423963	2.42567e+06	69197.9	40541	64562.4	123892	42931	2587.58	18294.3	68756.5	41242.1	34892.4	50	27864.2	50	24507.4	33092	430316	24200	100	50	46674.7	50	79259.2	50497.8	34445.6	50	200	50	6961.49	87979.1	109869	100	127020	26600.1	100630	6614.83	100	25443.8	9228.84	50	50	50	550343	8917.66	5008.26	359796	50	29031.5	953931	78.75	100	100	323346	124591	12247	
Random280	274.126	44239.6	50	691951	50	827898	50	50	16561.8	33339.5	288494	51324	4243.75	186370	253092	113461	18738.1	9452.41	100	71579.8	23909.9	7861.44	4114.73	1806.12	290558	116993	243954	803135	45690.1	12127.5	98194.9	50	127357	113442	6929.74	104785	41658.9	42944.3	957021	38581.3	21348.3	384027	150	983545	100	41482	239.137	75	23695.6	267293	166380	157205	116400	8611.08	17743	10231	2587.33	13114.3	483.235	160305	75	248595	100	7668.52	17281.3	237528	54742.3	13234.2	75	182703	873312	35243.7	529960	14860.8	87443.9	150	343098	2.3548e+06	1308.6	6098.09	67367.7	70456.2	331.75	50	50	50	62.5	260092	33389.5	2246.31	11812.4	50	503924	50	149986	6223.25	56047.6	50	64667.2	50	8740.83	183421	3.55646e+06	100	145503	118093	100	52417.3	100	598273	41342.9	50	50	50	687113	5264.49	24471	390651	71615.3	150	50	75	100	100	624016	100	100	
Random281	42022.9	97386.8	50	75	50	839	50	50	45638.5	41500	1.75869e+06	12900.2	15113.1	28624.8	149.7	15502.8	31944.4	15223.7	100	141507	47218.9	42117	1289.69	18662.5	23214.7	25783.4	680238	199112	2385.69	3652.42	428511	50	15295.2	39499.6	453641	101326	122533	399869	20357.7	178969	262424	1.8008e+06	435817	437177	435755	621003	178444	75	94727.1	426915	1.54312e+06	48005.5	1.10951e+06	21020.6	564710	947159	100	1.06566e+06	39164.4	443154	75	888973	100	44921	46183.9	470110	77685.3	58103.2	75	3.60755e+06	1.05355e+06	52013.4	239782	150897	434703	251985	23503	111134	16069.9	383450	86088.7	1.34459e+06	10192.7	50	50	50	180297	263	41550	10649.6	31172	50	298.8	50	370922	1.31095e+06	392020	50	2571.88	50	89.9406	123594	153540	100	31514.5	6970.88	100	70636.8	100	51389.5	11836.2	50	50	50	412578	20148.1	528619	1.43858e+06	429024	382649	50	75	2.41223e+06	100	63358.3	100	18804	
Random282	102659	89887.4	50	12423	50	416	50	87228.9	42824	165916	95543.3	13688.9	5481.3	93802.1	13407.1	17505.8	22393.5	11629.6	100	40658.2	35998.1	91346.2	121.13	2858.97	8339.46	26553.4	201286	16656.7	12792.5	146.722	2.44351e+06	50	5086.09	225929	5150.5	66717.2	546214	24258.1	69583.7	24041.2	12555	16386.4	150	150	100	77226.5	41361.2	75	62289.2	11911.1	366957	378270	21817.1	9547.88	39254	100	48580	85686.3	38240.7	198013	20090.9	42453.3	100	109517	51747.8	92357.3	25105.5	10455.6	75	358530	50	2825.13	516147	12304.7	580592	726337	10396.2	131746	11761.3	7708.34	91888.8	144832	93164.3	50	57454.7	50	7990.16	122	165966	13034.2	129227	16239.7	100	50	173431	5329.8	59802.6	50	14796.8	10729.4	1849.81	137235	21934.8	78798.6	408337	8337.76	100	59336.9	100	100405	23203.2	50	50	530448	224108	52323.6	10092.5	306797	50	34828	50	7693.36	879622	100	20628	100	137065	
Random283	62503	33775.9	147649	59791.2	50	812611	50	50	69291.4	13372	162938	810190	134372	204449	1467.9	24119	592298	291725	100	7953.75	2701.25	76957.4	1016.72	41891.3	70	21999	231128	58588.9	9130.3	2833.5	1.31976e+06	9731.62	19056.8	47611.1	10685.8	279677	33850.4	93061.8	233880	18818.2	132867	1056.53	41441.6	47244.6	41908.6	288816	27410.5	75	43632.4	37451.6	298118	366485	320239	4690.87	150	7297.27	12448.1	137779	79947.5	232963	75	200471	95753.8	59981.6	17309.1	33268.2	39166.7	94776.2	75	337695	68.4951	50	94835	97791	118468	332594	47534.5	158688	17222.4	60806	75727.1	56063.6	32555.4	50	50	50	62.5	5661	13422	75	125992	162538	5571.6	889734	57319.4	781595	170464	50	36371.2	50	52925.2	89211.5	287373	259338	118643	150	100	185260	100	79684.2	17791.3	50	50	50	152016	6252.27	282462	98090.7	50	36601.7	50	75	152841	100	103586	100	100	
Random284	102313	68042.7	50	21236.6	50	306467	50	50	48601	75	2.2677e+06	1.64888e+06	297002	207012	11967.4	40381.8	444316	234371	100	3.70218e+06	2.7721e+06	808509	11588.9	19196.1	114851	169223	1.26083e+06	465537	877.3	25328.2	465344	50	30540.8	53077.2	38731.8	25741.6	736561	66276.6	656405	43008.2	24153.8	181467	103561	96311	61734	20879.3	60496.8	75	61662.8	175588	232525	1.60678e+06	97883.9	58185.7	127454	161681	100	146674	225196	244539	6266.6	155092	10098.4	2.45444e+06	1.02172e+06	22581.6	9289.06	14789.1	75	167032	139544	4090.04	65870.4	38069	429076	8160.83	452771	3.68481e+06	1.29358e+06	100501	27554	44933.4	1.51024e+06	50	50	50	12324.4	102139	10516.9	75	19193.5	144899	47569.6	50	30899.1	107586	90745.6	50	3359.2	50	1.47013e+06	650300	364887	100	100	150	100	18281.7	100	270657	60553.8	50	50	50	554939	92185.7	35749.3	239658	50	34427	50	3.90086e+06	91412.7	1.37716e+06	712005	100	100	
Random285	1491.91	251296	109514	10724	50	37879.4	1.62008e+06	50	127495	75	111268	6695	173220	485657	190265	47222.9	765719	301394	100	30251.5	10133.8	35772.2	9500.14	24779.7	1.31826e+06	1538	960606	380657	13449.7	78899.9	816600	447939	79857.3	107485	51714.1	106614	352784	987860	244274	80752.8	169861	3048.3	308259	92912.9	100	92882.9	3157.81	75	127921	549894	405729	303498	28148.5	17732.1	1.69343e+06	158521	1.02548e+06	160728	1486.43	579299	75	245267	100	165194	90514.1	137399	31804.4	195948	75	115663	50	13188.3	220032	378058	322598	150	553107	4.44621e+06	1105.91	58972.1	32865.9	22277.5	334997	50	50	50	62.5	10885	45359.3	75	9892.82	50	760762	50	52082	173387	379139	50	53648.8	50	102374	4342.89	4735.13	100	27416.4	150	395711	63788	100	151446	68284.3	50	50	50	1.30822e+06	44233.9	315850	122980	50	620787	50	75	69051.7	100	879088	100	5.77915e+06	
Random286	2.52058e+06	56878.8	50	9662.4	50	15281	50	50	102767	75566	2.20539e+06	139584	43111.8	866045	193524	16408	217009	114411	100	67169.8	22439.9	2.12388e+06	535.481	5637.58	70	2402.02	1.52232e+06	126538	4.62956e+06	1389.78	5.41002e+06	431144	60300.5	44959.7	144122	20278.3	161653	212030	166236	30202.5	106944	1.72064e+06	118331	159518	2974.73	155954	62812.7	75	271481	1.22611e+06	629954	3.58694e+06	978048	30587.2	12944	14100	100	94041.6	273434	859472	31847.6	141270	127709	48971	62338.8	441024	102209	88142.6	75	356381	1.15588e+06	4731.93	299625	67763.9	131101	150	20222.9	18397.5	134568	495207	84933.8	59900.7	9155.26	50	50	50	204316	5077	75616	75	98338.6	50	773794	50	35346.2	41654.3	312374	50	1.41424e+07	50	50	7218.48	10618.5	100	4.16312e+06	150	100	10164.2	100	75437	17371.8	50	50	50	75537	20597.2	74411.3	124637	50	1356	50	17328.4	197531	100	60707.6	100	100	
Random287	19153	466789	35127.6	1168.5	50	635570	50	50	75686.3	32160.5	1.5786e+06	35261	178760	261479	4173.3	115053	789380	326779	100	732165	274603	107329	40885.7	20262.9	2.73741e+06	22911	2.09789e+06	2737	207301	451195	1.77305e+06	50	42411.3	144563	21432.2	7905.33	421031	144785	1.26187e+06	458900	100794	33112.1	37683.9	44560.9	100	55530.9	445812	1458.5	48210.3	1.23777e+06	550423	211480	401400	5794.21	61205	100	304479	172863	37690.7	328132	75	262744	100	6570.9	145312	160628	300287	179760	75	859466	50	56244.9	439670	3.46248e+06	442607	442589	162946	4623	21795.1	53971.9	26918.9	191903	146295	50	50	50	33074.6	207556	68628.5	75	100	50	16393.2	50	90383.3	178672	226685	50	829055	50	170576	93264.7	56518	100	21977.5	150	100	3977.67	100	483651	113837	50	50	50	792921	55141.6	273755	283209	50	524443	50	3774.25	386295	100	425349	177533	30592	
Random288	17624.6	341773	50	75	50	82769	50	50	31034.4	84073	8.2769e+06	233256	17473.3	235243	43255.4	24635.8	74822	39422	100	30882.2	10344.1	27482.5	2234.84	21887.1	70	328.94	227319	32942.5	62313.5	6487.86	96142.5	50	22877.4	88670.6	2.52873e+06	31386.3	344833	1.20044e+06	266606	612800	14221.3	1149.67	150	75303.7	172575	48446.2	36440.5	365004	64550.5	38382.3	386550	21184.4	2.61209e+06	6642.83	83267.8	17500.2	28871.4	23949.1	26643.9	289449	75	23040.1	586679	214902	186709	586779	1.67293e+06	1.02514e+06	75	174870	50	5625.4	240691	684538	31515.5	150	160216	369748	169837	1.27274e+07	25824.5	32154.9	127814	50	50	50	62.5	27573	84123	75	11249.8	50	172722	50	45135.4	115408	16938.4	50	131327	31695.4	20218.7	898.809	924.83	711725	100	72841.9	100	15718.2	100	272761	61086.2	50	50	50	1.06961e+06	61757.9	38313.1	91580.8	50	2314.77	50	75	107679	100	371245	100	66674.9	
Random289	137341	24807.3	144139	26789.5	50	648092	50	50	94119	5763	328179	1.46983e+06	153035	124966	23300.4	57571.9	672084	280990	2.41427e+06	9059.25	3069.75	174521	2276.88	33096.2	70	21051.2	242742	281134	34977	6613.97	347214	50	39628.3	100738	32697.5	448157	1.32638e+06	130279	839401	1.36256e+06	111643	59025.1	57156.7	53811.7	61353.7	14628.5	46400.9	75	23472.1	22911.4	195256	305969	63970.6	18463.3	33073.4	17687.6	11400.4	137485	233208	160391	4083.64	194134	100	855581	697702	173266	282985	36566.4	75	52980.4	50	235992	223866	112027	278064	4527.22	140542	454805	1.0216e+06	28826.2	20195.2	12141.5	499448	50	50	50	86951.2	216014	5813	75	97595.6	230899	92901.6	50	147604	193622	283639	50	33731.3	50	69498.4	65411.9	686289	100	33177	51475.3	100	315276	100	579487	143232	50	50	50	2.66645e+06	172414	101631	23023.9	50	18715.4	50	75	54047.6	100	390928	100	100	
Random290	3387.8	858138	51059.2	168673	50	12926	50	50	68662.1	912.5	114545	130015	75	289468	617.3	32950.2	318400	167976	100	5420.73	3566.88	5682	16666.4	8220.37	7812.86	87728.6	133374	809187	3799.11	210146	872184	50	660020	13279.8	16211.4	29233.3	553209	54840.6	342713	298807	781031	78507.9	124574	123534	44429.2	29079.8	1006.92	75	86864.7	56104.2	309126	102586	82197.6	87194.3	150	68589	34100.7	186288	942.486	506020	167581	110920	100	100	595558	358525	56709.9	15122.4	75	191294	50	33878.3	1.15303e+06	13251.4	898752	10433.9	140817	1.17866e+06	511.62	49526.5	295104	38860.4	172252	124044	121860	142160	71098.4	4292	962.5	75	75628.4	50	2169.2	50	15548.6	325345	2.06226e+06	50	200	50	16266.5	176075	1.80095e+06	21537	12294.6	12765.6	100	24938.1	100	176358	23684.8	50	50	50	510174	69191.6	578120	331256	50	170641	50	75	100	100	214496	100	100	
Random291	304879	45156.2	15018.2	50325.4	50	2.57568e+06	50	50	61624.4	250468	1.35727e+07	43697	121613	207830	29195.7	25267.2	321157	126116	100	64324	21491.3	258644	105020	15883.2	70	10598.8	402878	47996.7	115068	101274	167141	50	30682.3	20937.5	664226	3215.33	131566	510166	317008	77507	62265	91543.6	5.50379e+06	150	100	447182	2356.88	75	38364.6	17147.1	271913	28761.8	152126	5630.27	12253.6	100	14953.5	907041	19721.7	262480	75	73610.9	100	14978.5	107223	262932	22166	88348.6	75	359861	50	61016.2	94135.9	174796	184807	11377	54910.9	393631	8750.18	757202	330918	332578	38069.4	50	50	50	155989	846550	250518	75	198697	1.35723e+07	116483	50	1.07576e+06	61362.8	221132	50	337246	50	50	35870.3	27572.2	708484	20723.2	150	100	1632.67	100	166665	37757.4	50	50	178913	174808	17489.3	56681.8	1.49886e+06	50	12763.6	50	419283	100	100	95576.6	100	100	
