Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Random323	5878.22	5692.77	2082.96	6662.24
Random324	7756.96	7580.35	2541.34	6770.05
Random325	7376.92	7209.41	2376.7	7106.09
Random326	8146.09	7882.99	2788.8	6410.13
Random327	6921.92	6741.78	2564.58	6214.59
Random328	8505.25	8317.21	2463.98	6905.87
Random329	7934.32	7695.53	2800.12	7654.42
Random330	9059.71	8724.9	3640.4	8609.19
Random331	7626.52	7435.13	2876.61	7408.74
Random332	10974.1	10821.8	3320.72	9183.09
Random333	6805.23	6533.93	2588.67	6685.24
Random334	8830.48	8559.16	2989.26	7825.25
Random335	12481.2	12154.6	4284.47	9173.21
Random336	6806.21	6185.57	3368.93	7501.06
Random337	8014.26	7658.41	3312.15	6789.73
Random338	5915.45	5753.11	2100.07	6937.65
Random339	16407.9	16135.3	5683.38	9958.61
Random340	17081.4	16711.6	5458.49	9321.54
Random341	7127.01	6921.32	2502.29	6930.45
Random342	6788.71	6574.83	2246.41	6778.25
Random343	7916.49	7572.09	3281.02	8493.62
Random344	6016.21	5719.06	2453.98	6759.41
Random345	7176.57	6906.42	2876.42	6839.39
Random346	8898.87	8666.97	2915.18	6986.88
Random347	8780.81	8605.06	2873.49	7007.01
Random348	16377.9	16019.1	5429.31	7649.12
Random349	10131.2	9988.28	3490.68	8142.06
Random350	7575.24	7262.75	3015.32	6957.34
Random351	5644.67	5441.72	1920.99	6295.18
Random352	13077.6	12900.2	4296.19	8519.24
Random353	5989.78	5826.64	1906.15	6214.95
Random354	8691.64	8436.23	3265.77	7322.35
Random355	13672.5	13498	3964.02	8687.14
Random356	5605.63	5455.43	1769.78	6358.52
Random357	9336.91	9151.36	3369.09	7828.04
Random358	9564.87	9410.51	2969.03	7279.45
Random359	7775.08	7518.95	2967.08	6481.65
Random360	11151.3	10869.7	3904.68	7709.05
Random361	6729.09	6562.7	2234.56	6523.99
Random362	10403.9	10291.2	3616.98	8101.68
Random363	15884.1	15538.8	5822.62	10149
Random364	6201.51	5996.61	2067.6	5964.55
Random365	7223.58	6989.04	2655.17	6827.83
Random366	9186.37	8969.96	3180.48	7491.33
Random367	7154.33	6882.29	3005.86	7334.9
Random368	12697.1	12483.3	3960.58	7231.63
Random369	11228.3	10913.9	4778.73	7815.81
Random370	7489.16	7293.34	2599.78	6642.21
Random371	5899.24	5687.9	2420.42	6031.38
Random372	6628.09	6476.32	2030.59	6279.58
Random373	10430.1	10272.1	3795.4	8280.24
Random374	6871.63	6686.8	2194.71	6242.64
Random375	7858.45	7646.02	2581.14	7074.04
Random376	5673.46	5368.12	2493.61	6547.5
Random377	7103.66	6977.56	2142.94	6334.84
Random378	6618.87	6440.45	2312.55	7032.68
Random379	8342.39	8028.83	3497.92	8031.67
Random380	11502.6	11291.6	4240.46	8371.72
Random381	8527.57	8369.79	3048.03	7890.97
Random382	7050.61	6897.86	2118.6	6947.75
Random383	7455.66	7180.6	2882.67	7633.82
Random384	10222.5	10034.5	3861.25	8470.56
Random385	8197.16	7971.95	3078.89	7481.73
Random386	6329.49	6037.56	2751.47	7102.19
Random387	7725.12	7567.23	2440.27	7753.3
Random388	7344.94	7097.78	2544.13	6936.07
Random389	9895.22	9733	3404.08	9726.47
Random390	6506.94	6347.84	2014.23	6330.53
Random391	6428.73	6197.41	2125.85	7091.75
Random392	11172	11060.7	2689.2	7166.98
Random393	10051.1	9689.93	3870.57	9141.55
Random394	7804.2	7672.14	2446.74	5807.79
Random395	9228.83	9035.62	3091.19	6846.46
Random396	8937.08	8749.42	3348.13	7248.4
Random397	6758.3	6605.42	2180.85	6054.67
Random398	6990.83	6722.77	2765.76	7157.26
Random399	10848	10597.3	3378.42	8385.16
Random400	6913.16	6718.75	2328.99	7394.5
Random401	12263.3	12080.9	4904.68	9553.7
Random402	6248.35	6032.81	2148.54	6715.36
Random403	11754.6	11482.6	4210.98	8632.38
Random404	10437.2	10236.4	3987.67	8871.48
Random405	10490.1	10184.6	3793.9	6874.87
Random406	5018.44	4806.84	1980.57	6770.19
Random407	6066.1	5890.15	2019.07	6343.52
Random408	11075.8	10896.4	3225.82	7112.97
Random409	6113.03	5899.24	2316.92	6079.37
Random410	5880.86	5748.6	1861.52	7778.26
Random411	10251.8	10074.4	3540.47	6992.56
Random412	12094.2	11924.8	3340.83	7993.07
Random413	5886.03	5643.17	2743.29	6720.92
Random414	6820.75	6648.65	2426.03	7502.74
Random415	4949.4	4766.02	1686.32	5993.5
Random416	15389.6	14919.6	5197.21	10035.1
Random417	5140.79	5041.12	1618.18	5732.75
Random418	6962.6	6816.45	2190.62	7304.71
Random419	6747.52	6569.76	2695.56	6411.43
Random420	7866.57	7599.38	2723.64	6714.99
Random421	7298.87	7090.04	2632.05	6917.03
Random422	5703.8	5462.87	2184.78	6610.76
Random423	10839.6	10566.7	3579.18	9621.04
Random424	7939.53	7604.19	3262.72	7457.4
Random425	7489.18	7288.17	2783.31	7143.12
Random426	10267.8	10021.6	3882.4	9084.96
Random427	7091.66	6725.25	2699.21	7005.28
Random428	9723.64	9398.83	3525.88	8077.21
Random429	7617.11	7301.13	3021.21	7401.21
Random430	5322.8	5131.55	1924.26	6165.86
Random431	11985.8	11616.3	5453.86	8687.72
Random432	13574	13384.2	4731.17	7868.03
Random433	9303.78	9054.25	3277.68	7586.1
Random434	6667.28	6456.05	2418.92	6918.49
Random435	10985.9	10757.8	3513.7	8780.66
Random436	7065.6	6944.24	2135.04	6974.07
Random437	6093.88	5958.49	2026.06	6996.76
Random438	9574.09	9282.28	3461.07	8117.73
Random439	10173.7	9997.18	2661.82	9277.42
Random440	6398.18	6259.22	2213.12	6336.72
Random441	7667.99	7470.14	2769.78	7413.27
Random442	8612.7	8224.77	3598.62	7387.54
Random443	7739.19	7606.7	2040.62	6735.91
Random444	8919.98	8708.33	2809.3	6818.1
Random445	7690.58	7433.05	2808.47	6598.08
Random446	7302.05	7093.47	2618.5	6790.36
Random447	6028.97	5854.45	2439.46	6839.15
Random448	7718.14	7440.84	2780.4	7520.47
Random449	6181.92	6026.52	2012.16	6833.53
Random450	8529.06	8315.78	2777.42	6920.48
Random451	7911.53	7672.88	2869.77	7515.09
Random452	9227.21	9085.72	2810.28	8071.18
Random453	5491.97	5284.85	1969.2	5934.12
Random454	6470.03	6100.8	3404.21	7198.8
Random455	7877.16	7627.98	2802.94	7355.01
Random456	3808.85	3692.53	1226.9	5649.9
Random457	6949.85	6666.56	3076.6	6953.67
Random458	7698.13	7347.49	3229.7	7299.63
Random459	5229.67	4988.82	2254.2	6176.82
Random460	6075.44	5962.95	1876.27	6267.9
Random461	9594.24	9464.6	2877.83	8142.66
Random462	6312.08	6043.96	2468.29	7082.1
Random463	6421.74	6255.62	2482.74	6623.16
Random464	7165.76	7029.19	2266.27	6939.75
Random465	7830.42	7574.38	2624.7	7120.97
Random466	9505.4	9167.48	3470.71	7480.13
Random467	6271.44	6063.97	2478.89	6882.02
Random468	6781.5	6092.87	3545.03	6920.56
Random469	7644.44	7488.39	2793.21	7692.59
Random470	6388.11	6214.61	2234.11	6412.1
Random471	7375.65	7283.31	2230.76	6818.8
Random472	10343.4	10177.3	3116.34	8275.7
Random473	14053.1	13896.4	4552.09	9869.42
Random474	9423.15	9198.49	3976.63	8041.03
Random475	5446.47	5263.85	1959.36	6059.36
