CopyNumbers	CumulativeDistributionFunction
102450 0.716957735
102550 0.71716441
102650 0.717267748
102750 0.717474424
102850 0.717577762
102950 0.7176811
103050 0.717784437
103150 0.717991113
103250 0.718301126
103450 0.718507802
103550 0.71861114
103650 0.718817815
103750 0.719127829
103950 0.719334504
104050 0.719644518
104150 0.719954531
104450 0.720057869
104550 0.720264545
104750 0.720574558
104850 0.720884572
104950 0.721091247
105250 0.721297923
105550 0.721504599
105850 0.721814612
106050 0.722021288
106150 0.722124625
106250 0.722331301
106350 0.722641314
106450 0.723054666
106550 0.723158004
106750 0.723364679
106850 0.723468017
106950 0.72377803
107050 0.723881368
107150 0.723984706
107250 0.724191382
107350 0.724294719
107450 0.724708071
107550 0.724811408
107750 0.724914746
107850 0.725121422
108050 0.725328098
108250 0.725741449
108350 0.725948124
108650 0.726051462
108750 0.7261548
108850 0.726361476
109150 0.726671489
109350 0.726774827
109450 0.726878165
109650 0.726981503
109750 0.72708484
109850 0.727291516
109950 0.727498192
110050 0.727601529
110250 0.727704867
110450 0.727808205
110650 0.727911543
110850 0.728221556
110950 0.728324894
111150 0.72853157
111250 0.728738245
111450 0.728944921
111550 0.729254934
111650 0.729358272
111750 0.72946161
111850 0.729564948
111950 0.729668286
112050 0.729771623
112150 0.729978299
112350 0.730081637
112450 0.730184975
112550 0.730288312
112650 0.730494988
112750 0.730701664
112850 0.730908339
112950 0.731115015
113050 0.731218353
113150 0.731321691
113450 0.731425028
113550 0.731631704
113650 0.731735042
113950 0.73183838
114150 0.732148393
114250 0.732251731
114650 0.732355069
114750 0.732458407
114850 0.732561744
114950 0.732871758
115050 0.733078433
115150 0.733181771
115250 0.733285109
115350 0.733388447
115450 0.733491785
115550 0.73369846
115650 0.733905136
115950 0.734111812
116050 0.734318487
116150 0.734525163
116250 0.734628501
116350 0.734731838
116550 0.734938514
116650 0.735041852
116750 0.73514519
116850 0.735351865
116950 0.735455203
117050 0.735558541
117150 0.735661879
117250 0.735868554
117350 0.735971892
117450 0.73607523
117750 0.736178568
117850 0.736281906
117950 0.736591919
118050 0.736798595
118250 0.736901932
118350 0.73700527
118450 0.737108608
118550 0.737211946
118650 0.737315284
118750 0.737625297
118950 0.737831973
119050 0.737935311
119250 0.738038648
119350 0.738141986
119550 0.738245324
119750 0.738452
119850 0.738555337
119950 0.738865351
120350 0.738968689
120550 0.739072026
120650 0.739278702
120850 0.739485378
121150 0.739588716
121250 0.739692053
121450 0.740002067
121550 0.740208742
121650 0.74031208
121750 0.740415418
121850 0.740518756
122050 0.740622094
122150 0.740725431
122250 0.740932107
122550 0.741035445
122650 0.741138783
122850 0.741345458
122950 0.741448796
123050 0.741552134
123150 0.741655472
123350 0.74175881
123450 0.741965485
123550 0.742068823
123650 0.742275499
123850 0.742378836
123950 0.742482174
124050 0.74268885
124150 0.742998863
124250 0.743102201
124350 0.743308877
124450 0.743412215
124750 0.743515552
124850 0.743722228
125050 0.743928904
125150 0.744238917
125250 0.744445593
125450 0.744755606
125550 0.744962282
125650 0.74506562
125750 0.745272295
125850 0.745375633
125950 0.745478971
126050 0.745582309
126150 0.745685646
126350 0.745788984
126450 0.745892322
126650 0.74599566
127050 0.746098998
127450 0.746202335
127650 0.746305673
127950 0.746512349
128150 0.746615687
128450 0.7469257
128550 0.747029038
128650 0.747132376
128750 0.747339051
128850 0.747442389
128950 0.747545727
129150 0.747649065
129450 0.747959078
129650 0.748062416
129850 0.748165754
130250 0.748372429
130550 0.748682443
130650 0.748889119
130850 0.748992456
130950 0.749095794
131050 0.749199132
131150 0.749405808
131250 0.749612483
131350 0.749715821
131550 0.749819159
131950 0.749922497
132050 0.750025834
132450 0.750129172
132550 0.75023251
132750 0.750335848
133050 0.750439186
133250 0.750645861
133550 0.750749199
133650 0.750955875
133750 0.751059213
133850 0.751265888
134050 0.751369226
134550 0.751575902
134650 0.751679239
134750 0.751782577
134850 0.751989253
134950 0.752195928
135150 0.752299266
135250 0.752505942
135350 0.752712618
135850 0.752815955
136050 0.752919293
136250 0.753022631
136450 0.753332644
136750 0.753435982
136950 0.75353932
137050 0.753642658
137150 0.753745996
137250 0.753952671
137450 0.754262685
137650 0.75446936
137950 0.754572698
138050 0.754676036
138150 0.754779374
138250 0.754882712
138350 0.754986049
138650 0.755089387
138750 0.755192725
138850 0.755502738
138950 0.755709414
139050 0.75591609
139350 0.756122765
139450 0.756329441
139550 0.756432779
139650 0.756536117
139950 0.756639454
140150 0.75684613
140250 0.757052806
140350 0.757259481
140450 0.757362819
140650 0.757569495
140850 0.75777617
140950 0.757879508
141150 0.758189522
141250 0.758396197
141550 0.758602873
141750 0.758706211
141850 0.758809548
142150 0.758912886
142250 0.759016224
142350 0.7592229
142550 0.759326237
142650 0.759429575
142750 0.759636251
142950 0.759842927
143250 0.759946264
143350 0.76015294
143750 0.760256278
143850 0.760462953
144250 0.760566291
144450 0.760669629
144550 0.760772967
144650 0.760876305
144750 0.76108298
144850 0.761186318
144950 0.761392994
145050 0.761496332
145150 0.761909683
145550 0.762013021
145750 0.762116358
145850 0.762219696
145950 0.762426372
146150 0.762633047
146650 0.762736385
146750 0.762839723
146950 0.762943061
147150 0.763046399
147350 0.763149736
147550 0.763253074
147750 0.763356412
147850 0.76345975
148150 0.763563088
148450 0.763666426
148850 0.763873101
148950 0.763976439
149250 0.764079777
149650 0.764183115
149750 0.764286452
150150 0.76438979
150350 0.764493128
150450 0.764596466
150950 0.764803141
151050 0.764906479
151550 0.765009817
151650 0.765113155
151750 0.765216493
151850 0.765319831
151950 0.765423168
152150 0.765629844
152250 0.76583652
152450 0.766043195
152550 0.766146533
152650 0.766353209
152750 0.766559884
153150 0.76676656
153250 0.767179911
153450 0.767283249
153750 0.767593262
153950 0.7676966
154350 0.767903276
154550 0.768006614
154650 0.768109951
154950 0.768213289
155150 0.768419965
155250 0.768523303
155550 0.76862664
155650 0.768833316
156050 0.768936654
156350 0.769350005
156450 0.769453343
156550 0.769556681
156850 0.769660019
157150 0.769763356
157650 0.769866694
157750 0.769970032
157850 0.770280045
158250 0.770486721
158450 0.770590059
158650 0.770693397
158850 0.770900072
159050 0.77100341
159150 0.771106748
159250 0.771210086
159350 0.771313424
