CopyNumber	CumulativeDistributionFunction
   3.8965352e+04   4.8428799e-01
   3.9115508e+04   4.8568019e-01
   3.9265663e+04   4.8667462e-01
   3.9415819e+04   4.8786794e-01
   3.9565974e+04   4.8866348e-01
   3.9716130e+04   4.8926014e-01
   3.9866285e+04   4.8965792e-01
   4.0016441e+04   4.9005569e-01
   4.0166596e+04   4.9124901e-01
   4.0316752e+04   4.9204455e-01
   4.0466907e+04   4.9244232e-01
   4.0617063e+04   4.9323787e-01
   4.0767218e+04   4.9403341e-01
   4.0917374e+04   4.9463007e-01
   4.1067529e+04   4.9542562e-01
   4.1217685e+04   4.9642005e-01
   4.1367840e+04   4.9681782e-01
   4.1517996e+04   4.9721559e-01
   4.1668151e+04   4.9821002e-01
   4.1818307e+04   4.9900557e-01
   4.1968462e+04   4.9980111e-01
   4.2118618e+04   5.0059666e-01
   4.2268773e+04   5.0099443e-01
   4.2418929e+04   5.0139220e-01
   4.2569084e+04   5.0238663e-01
   4.2719240e+04   5.0278441e-01
   4.2869395e+04   5.0338107e-01
   4.3019551e+04   5.0437550e-01
   4.3169706e+04   5.0536993e-01
   4.3319862e+04   5.0596659e-01
   4.3470017e+04   5.0616547e-01
   4.3620173e+04   5.0715990e-01
   4.3770328e+04   5.0755768e-01
   4.3920484e+04   5.0815434e-01
   4.4070639e+04   5.0875099e-01
   4.4220795e+04   5.0954654e-01
   4.4521106e+04   5.1054097e-01
   4.4671261e+04   5.1113763e-01
   4.4821417e+04   5.1153540e-01
   4.4971572e+04   5.1193317e-01
   4.5121728e+04   5.1233095e-01
   4.5422039e+04   5.1272872e-01
   4.5572194e+04   5.1312649e-01
   4.5722350e+04   5.1372315e-01
   4.5872505e+04   5.1412092e-01
   4.6022661e+04   5.1471758e-01
   4.6172816e+04   5.1531424e-01
   4.6322972e+04   5.1551313e-01
   4.6473127e+04   5.1591090e-01
   4.6623283e+04   5.1650756e-01
   4.6773438e+04   5.1750199e-01
   4.6923594e+04   5.1789976e-01
   4.7073749e+04   5.1849642e-01
   4.7223905e+04   5.1949085e-01
   4.7374060e+04   5.2028640e-01
   4.7524216e+04   5.2128083e-01
   4.7674371e+04   5.2187749e-01
   4.7824527e+04   5.2207637e-01
   4.7974682e+04   5.2227526e-01
   4.8124838e+04   5.2287192e-01
   4.8274993e+04   5.2386635e-01
   4.8425149e+04   5.2446301e-01
   4.8575304e+04   5.2525855e-01
   4.8725460e+04   5.2565632e-01
   4.8875615e+04   5.2665076e-01
   4.9025771e+04   5.2764519e-01
   4.9175926e+04   5.2844073e-01
   4.9326082e+04   5.2863962e-01
   4.9476237e+04   5.2883850e-01
   4.9626393e+04   5.2903739e-01
   4.9776548e+04   5.2943516e-01
   4.9926704e+04   5.2963405e-01
   5.0076859e+04   5.3082737e-01
   5.0227015e+04   5.3202068e-01
   5.0377170e+04   5.3221957e-01
   5.0527326e+04   5.3281623e-01
   5.0677481e+04   5.3321400e-01
   5.0827637e+04   5.3381066e-01
   5.0977792e+04   5.3420843e-01
   5.1127948e+04   5.3480509e-01
   5.1278103e+04   5.3540175e-01
   5.1428259e+04   5.3560064e-01
   5.1578414e+04   5.3619730e-01
   5.1878725e+04   5.3719173e-01
   5.2028881e+04   5.3798727e-01
   5.2179036e+04   5.3818616e-01
   5.2329192e+04   5.3878282e-01
   5.2479347e+04   5.3918059e-01
   5.2629503e+04   5.3937947e-01
   5.2779658e+04   5.3997613e-01
   5.2929814e+04   5.4057279e-01
   5.3079969e+04   5.4077168e-01
   5.3230125e+04   5.4136834e-01
   5.3380280e+04   5.4176611e-01
   5.3530436e+04   5.4236277e-01
   5.3680591e+04   5.4276054e-01
   5.3830747e+04   5.4335720e-01
   5.3980902e+04   5.4375497e-01
   5.4131058e+04   5.4415274e-01
   5.4281213e+04   5.4455052e-01
   5.4431369e+04   5.4514718e-01
   5.4581524e+04   5.4534606e-01
   5.4731680e+04   5.4554495e-01
   5.5031991e+04   5.4594272e-01
   5.5182146e+04   5.4634049e-01
   5.5332302e+04   5.4673827e-01
   5.5482457e+04   5.4713604e-01
   5.5782768e+04   5.4753381e-01
   5.5932924e+04   5.4773270e-01
   5.6233235e+04   5.4793158e-01
   5.6383390e+04   5.4832936e-01
