CopyNumber	CumulativeDistributionFunction
   2.6483218e+04   5.1036199e-01
   2.6590221e+04   5.1095720e-01
   2.6697224e+04   5.1133597e-01
   2.6804226e+04   5.1198528e-01
   2.6911229e+04   5.1230994e-01
   2.7018232e+04   5.1301337e-01
   2.7125235e+04   5.1350035e-01
   2.7232238e+04   5.1414967e-01
   2.7339241e+04   5.1485309e-01
   2.7446244e+04   5.1561063e-01
   2.7553247e+04   5.1631405e-01
   2.7660250e+04   5.1717981e-01
   2.7767253e+04   5.1777501e-01
   2.7874255e+04   5.1820789e-01
   2.7981258e+04   5.1880310e-01
   2.8088261e+04   5.1939830e-01
   2.8195264e+04   5.2004762e-01
   2.8302267e+04   5.2026405e-01
   2.8409270e+04   5.2058871e-01
   2.8516273e+04   5.2085926e-01
   2.8623276e+04   5.2156269e-01
   2.8730279e+04   5.2210378e-01
   2.8837282e+04   5.2253666e-01
   2.8944284e+04   5.2318597e-01
   2.9051287e+04   5.2378118e-01
   2.9158290e+04   5.2421406e-01
   2.9265293e+04   5.2480926e-01
   2.9372296e+04   5.2562091e-01
   2.9479299e+04   5.2632433e-01
   2.9586302e+04   5.2675721e-01
   2.9693305e+04   5.2719009e-01
   2.9800308e+04   5.2767707e-01
   2.9907311e+04   5.2805584e-01
   3.0014313e+04   5.2892160e-01
   3.0121316e+04   5.2957091e-01
   3.0228319e+04   5.3011201e-01
   3.0335322e+04   5.3086954e-01
   3.0442325e+04   5.3114009e-01
   3.0549328e+04   5.3205995e-01
   3.0656331e+04   5.3276338e-01
   3.0763334e+04   5.3314215e-01
   3.0870337e+04   5.3357502e-01
   3.0977340e+04   5.3422434e-01
   3.1084342e+04   5.3471133e-01
   3.1191345e+04   5.3503598e-01
   3.1298348e+04   5.3536064e-01
   3.1405351e+04   5.3579352e-01
   3.1512354e+04   5.3649694e-01
   3.1619357e+04   5.3714626e-01
   3.1726360e+04   5.3768735e-01
   3.1833363e+04   5.3790379e-01
   3.1940366e+04   5.3828256e-01
   3.2047369e+04   5.3887777e-01
   3.2154371e+04   5.3909420e-01
   3.2261374e+04   5.3963530e-01
   3.2368377e+04   5.4028462e-01
   3.2475380e+04   5.4077160e-01
   3.2582383e+04   5.4115037e-01
   3.2689386e+04   5.4152914e-01
   3.2796389e+04   5.4201612e-01
   3.2903392e+04   5.4223256e-01
   3.3010395e+04   5.4266544e-01
   3.3117398e+04   5.4304421e-01
   3.3224400e+04   5.4331476e-01
   3.3331403e+04   5.4363941e-01
   3.3438406e+04   5.4423462e-01
   3.3545409e+04   5.4445106e-01
   3.3652412e+04   5.4488393e-01
   3.3759415e+04   5.4515448e-01
   3.3866418e+04   5.4558736e-01
   3.3973421e+04   5.4618257e-01
   3.4080424e+04   5.4661544e-01
   3.4187427e+04   5.4710243e-01
   3.4294429e+04   5.4737298e-01
   3.4401432e+04   5.4791407e-01
   3.4508435e+04   5.4840106e-01
   3.4615438e+04   5.4883394e-01
   3.4722441e+04   5.4921270e-01
   3.4829444e+04   5.4964558e-01
   3.4936447e+04   5.4980791e-01
   3.5043450e+04   5.5040312e-01
   3.5150453e+04   5.5094421e-01
   3.5257456e+04   5.5164764e-01
   3.5364458e+04   5.5208052e-01
   3.5471461e+04   5.5262161e-01
   3.5578464e+04   5.5289216e-01
   3.5685467e+04   5.5327093e-01
   3.5792470e+04   5.5370380e-01
   3.5899473e+04   5.5424490e-01
   3.6006476e+04   5.5484011e-01
   3.6113479e+04   5.5516476e-01
   3.6220482e+04   5.5538120e-01
   3.6327485e+04   5.5581408e-01
   3.6434487e+04   5.5640929e-01
   3.6541490e+04   5.5700449e-01
   3.6648493e+04   5.5743737e-01
   3.6755496e+04   5.5770792e-01
   3.6862499e+04   5.5781614e-01
   3.6969502e+04   5.5835723e-01
   3.7076505e+04   5.5900655e-01
   3.7183508e+04   5.5933121e-01
   3.7290511e+04   5.5954764e-01
   3.7397514e+04   5.5965586e-01
   3.7504516e+04   5.6014285e-01
   3.7611519e+04   5.6057573e-01
   3.7718522e+04   5.6100860e-01
   3.7825525e+04   5.6127915e-01
   3.7932528e+04   5.6182025e-01
   3.8039531e+04   5.6241545e-01
   3.8146534e+04   5.6284833e-01
   3.8253537e+04   5.6333532e-01
   3.8360540e+04   5.6365998e-01
   3.8467543e+04   5.6398463e-01
   3.8574545e+04   5.6447162e-01
   3.8681548e+04   5.6463395e-01
   3.8788551e+04   5.6506683e-01
   3.8895554e+04   5.6549970e-01
   3.9002557e+04   5.6571614e-01
   3.9109560e+04   5.6598669e-01
   3.9216563e+04   5.6647368e-01
   3.9323566e+04   5.6679833e-01
   3.9430569e+04   5.6728532e-01
   3.9537572e+04   5.6744765e-01
   3.9644574e+04   5.6782642e-01
   3.9751577e+04   5.6825929e-01
   3.9858580e+04   5.6874628e-01
   3.9965583e+04   5.6896272e-01
   4.0072586e+04   5.6939560e-01
   4.0179589e+04   5.6988258e-01
   4.0286592e+04   5.7004491e-01
   4.0393595e+04   5.7053190e-01
   4.0500598e+04   5.7091067e-01
   4.0607601e+04   5.7128943e-01
   4.0714603e+04   5.7166820e-01
   4.0821606e+04   5.7193875e-01
   4.0928609e+04   5.7231752e-01
   4.1035612e+04   5.7258806e-01
