CopyNumber	CumulativeDistributionFunction
   4.1160439e+04   5.5440709e-01
   4.1445780e+04   5.5497501e-01
   4.1588451e+04   5.5554294e-01
   4.1731121e+04   5.5656520e-01
   4.1873792e+04   5.5724671e-01
   4.2016462e+04   5.5736029e-01
   4.2159133e+04   5.5792821e-01
   4.2301803e+04   5.5815538e-01
   4.2444474e+04   5.5872331e-01
   4.2587144e+04   5.5906406e-01
   4.2729815e+04   5.5951840e-01
   4.2872485e+04   5.5997274e-01
   4.3015156e+04   5.6054066e-01
   4.3157826e+04   5.6099500e-01
   4.3300497e+04   5.6144934e-01
   4.3443167e+04   5.6179010e-01
   4.3585838e+04   5.6269877e-01
   4.3728508e+04   5.6303953e-01
   4.3871179e+04   5.6383462e-01
   4.4013849e+04   5.6440254e-01
   4.4156520e+04   5.6497047e-01
   4.4299190e+04   5.6610632e-01
   4.4441861e+04   5.6644707e-01
   4.4584531e+04   5.6724216e-01
   4.4727202e+04   5.6792367e-01
   4.4869872e+04   5.6826443e-01
   4.5012543e+04   5.6871876e-01
   4.5155213e+04   5.6905952e-01
   4.5297884e+04   5.7030895e-01
   4.5440554e+04   5.7110404e-01
   4.5583225e+04   5.7212631e-01
   4.5725895e+04   5.7258065e-01
   4.5868566e+04   5.7280781e-01
   4.6011236e+04   5.7303498e-01
   4.6153907e+04   5.7360291e-01
   4.6296577e+04   5.7417083e-01
   4.6439248e+04   5.7451159e-01
   4.6581918e+04   5.7519309e-01
   4.6724589e+04   5.7610177e-01
   4.6867259e+04   5.7666970e-01
   4.7009930e+04   5.7746479e-01
   4.7152600e+04   5.7780554e-01
   4.7295271e+04   5.7825988e-01
   4.7437941e+04   5.7860064e-01
   4.7580612e+04   5.7916856e-01
   4.7723282e+04   5.7928214e-01
   4.7865953e+04   5.7985007e-01
   4.8008623e+04   5.8019082e-01
   4.8151294e+04   5.8064516e-01
   4.8293964e+04   5.8178101e-01
   4.8436635e+04   5.8234893e-01
   4.8579305e+04   5.8268969e-01
   4.8721976e+04   5.8359836e-01
   4.8864646e+04   5.8382553e-01
   4.9007317e+04   5.8450704e-01
   4.9149987e+04   5.8507497e-01
   4.9292658e+04   5.8552930e-01
   4.9435328e+04   5.8598364e-01
   4.9577999e+04   5.8621081e-01
   4.9720669e+04   5.8643798e-01
   4.9863340e+04   5.8677874e-01
   5.0006010e+04   5.8723308e-01
   5.0148681e+04   5.8791458e-01
   5.0291351e+04   5.8814175e-01
   5.0434022e+04   5.8916402e-01
   5.0576692e+04   5.8961836e-01
   5.0719363e+04   5.9029986e-01
